GISJOIN,YEAR,STUSAB,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,TTRACTA,TBLKGRPA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,UAA,URA,CD116A,SLDU18A,SLDL18A,VTD,VTDI,ZCTAA,SDELMA,SDSECA,SDUNIA,PUMA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,UGA,U7I001,U7I002,U7I003,U7I004
"G010","2020","AL","0400000US01","01","3","6","Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"131175460655","4591915034","Alabama","Alabama","A","+32.7396323","-086.8434593","00",,5024279,2900880,2123399,0
"G020","2020","AK","0400000US02","02","4","9","Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1478941109938","245380162784","Alaska","Alaska","A","+63.3473560","-152.8397334","00",,733391,475967,257424,0
"G040","2020","AZ","0400000US04","04","4","8","Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294360991275","858853288","Arizona","Arizona","A","+34.2039362","-111.6063449","00",,7151502,6385230,766272,0
"G050","2020","AR","0400000US05","05","3","7","Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"134660850501","3121867339","Arkansas","Arkansas","A","+34.8955256","-092.4446262","00",,3011524,1670677,1340847,0
"G060","2020","CA","0400000US06","06","4","9","California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"403671196038","20294133830","California","California","A","+37.1551773","-119.5434183","00",,39538223,37259490,2278733,0
"G080","2020","CO","0400000US08","08","4","8","Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"268418746964","1185766400","Colorado","Colorado","A","+38.9937669","-105.5087122","00",,5773714,4966936,806778,0
"G090","2020","CT","0400000US09","09","1","1","Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12541688516","1816426151","Connecticut","Connecticut","A","+41.5798637","-072.7466572","00",,3605944,3110153,495791,0
"G100","2020","DE","0400000US10","10","3","5","Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5046731558","1399179670","Delaware","Delaware","A","+38.9985661","-075.4416440","00",,989948,817817,172131,0
"G110","2020","DC","0400000US11","11","3","5","District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158316124","18709762","District of Columbia","District of Columbia","A","+38.9042474","-077.0165167","00",,689545,689545,0,0
"G120","2020","FL","0400000US12","12","3","5","Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"138958484319","45975808217","Florida","Florida","A","+28.3989775","-082.5143005","00",,21538187,19714806,1823381,0
